ID,Treatment,Total.Wet.Mass,Wet.Root,Wet.Stem,Dry.Root,Total.Dry.Mass,Leaf.Count,Length.Leaf,Width.Leaf,Leaf.Area,Stem.Length,Node.Count
1,0,413,37.1,17.7,20.6,38.3,7,17.09,9.825,2.637512331,4.77,3
2,0,408.4,41.8,18.8,17.9,36.7,6,18.2375,9.5475,2.735110325,3.4,3
3,0,420.6,46.3,17.8,15.6,33.4,6,16.045,10.4575,2.635648385,3.41,3
4,0,357,36.6,18.4,17,35.4,6,16.9175,9.33,2.479349242,4.73,2
5,0,381.8,58,15.7,21,36.7,6,15.145,8.8075,2.095278741,4.28,2
6,0,469.2,74.1,21.3,22.8,44.1,6,14.105,10.3225,2.287061584,4.73,2
7,0,445.5,42.7,26.8,15.5,42.3,6,18.8825,11.4225,3.387977653,3.22,2
8,0,550.2,72.7,30.9,22,52.9,6,19.6875,10.665,3.298156869,5.1,2
9,0,527.6,81,21.5,26.6,48.1,6,16.3775,11,2.829828853,4.06,3
10,0,667,61.1,32.1,24.6,56.7,6,20.5825,11.905,3.848995478,4.03,3
11,0,555.4,57.1,28.3,24.5,52.8,6,17.1125,12.36,3.322399165,6.96,2
12,1,764.6,187.5,55.5,42.4,97.9,8,21.555,13.4625,4.558202558,6.8,4
13,1,910.5,224.8,66.8,51.1,117.9,8,21.5575,11.7025,3.962752253,6.65,4
14,1,609.1,101.6,48.3,30.5,78.8,6,22.675,14.095,5.020329856,5.42,3
15,1,513.8,86.4,37.3,23.1,60.4,8,21.5675,15.3775,5.209612482,4.66,4
16,1,1376.5,396.2,73.9,89.4,163.3,8,29.02,15.3225,6.984686453,6.94,4
17,1,1161.8,354.5,59.3,93.1,152.4,8,25.3,13.5175,5.372009555,7.02,4
18,1,987.2,330,49.1,78.6,127.7,9,21.3975,12.2625,4.121562904,6.54,5
19,1,1030.1,249.4,65.3,67.8,133.1,8,26.525,15.1425,6.309179041,7.41,4
20,1,787.4,194,50.5,51.1,101.6,6,22.7925,15.4725,5.539522515,6.11,3
21,2,1059.1,254.4,76.4,56.6,133,6,29.4875,14.81,6.859822675,11.01,5
22,2,1370.1,475.1,79.6,66.1,145.7,8,26.43,14.8125,6.149579262,8.58,5
23,2,1020.7,321.4,71,48.8,119.8,6,24.71,13.195,5.121557076,7.75,5
24,2,930.6,296.4,54.5,48.8,103.3,6,24.7075,14.8925,5.779846303,5.74,5
25,2,919.4,265.5,41.7,45.3,87,6,27.33,16.815,7.218656566,4.45,4
26,2,1471.7,345,93.7,53.6,147.3,10,32.6625,19.64,10.07652492,9.16,6
27,2,737.3,213.7,50.2,40.8,91,7,23.335,13.635,4.997845477,5.94,5
28,2,1252.7,387.4,66.9,65.4,132.3,8,26.84,13.88,5.851832069,8,6
29,2,1388.6,404.8,78.1,61.5,139.6,8,30.955,18.445,8.968696855,6.99,5
30,2,730.5,129.8,54.7,29.1,83.8,7,29.0425,14.9325,6.812184448,7.35,5
31,2,1171.3,394,68.2,67.2,135.4,8,28.3625,15.8075,7.042511688,5.79,6
32,2,1412.8,498.7,83.7,78.2,161.9,10,27.9975,17.35,7.630247223,6.53,6
33,3,1666.1,437.5,102,63.1,165.1,10,32.5675,18.91,9.673771562,11.09,7
34,3,1863.9,626.4,111.7,92.5,204.2,8,32.8725,18.57,9.588805618,9.95,5
35,3,1576.8,575.8,96.9,90,186.9,6,30.625,17.9625,8.640975137,7.63,5
36,3,1115.6,294.2,52.3,40.2,92.5,8,28.71,18.8525,8.502017978,5.65,5
37,3,1369.7,351.8,105.8,60.9,166.7,10,28.9675,16.1875,7.365643145,8.54,6
38,3,1130.9,229.2,58.5,35.5,94,10,34.0675,18.9425,10.1367197,8.61,6
39,3,1178.4,457.2,62.9,74.1,137,5,28.525,16.545,7.413312396,8.55,6
40,3,1665.6,544.9,90.5,76.2,166.7,10,31.97,18.06,9.069435557,10.64,6
41,3,1414.3,269.3,75.7,56.2,131.9,8,29.0875,17.795,8.130631265,12.29,5
42,3,1908.2,580.4,126.2,75.8,202,10,36.8325,20.9925,12.14549547,12.1,6
43,3,2169.1,773.1,145.7,125.8,271.5,10,36.965,19.3275,11.22241357,10.33,6
44,3,1825,473.1,96.6,66.2,162.8,10,32.34,18.52,9.408077254,9.79,6
45,3,1284.6,289.9,78.4,48,126.4,8,33.185,20.8075,10.84629975,9.01,5
46,4,1884.3,274.5,111.6,36.1,147.7,12,41.0025,33.144,21.34691568,13.81,6
47,4,3221.4,888.8,167.4,110,277.4,10,44.765,27.81,19.55507359,13.33,6
48,4,1762,323,78.7,37.6,116.3,8,35.22,20.1425,11.14352524,11.54,5
49,4,1463.1,197.3,77.8,25.2,103,10,36.8925,20.36,11.79874287,9.36,6
50,4,2476.5,666.6,152.7,78.9,231.6,10,39.6225,22.7275,14.14534087,13.78,6
51,4,2020.3,447.7,119.7,51.7,171.4,10,43.845,26.3825,18.17004062,11.44,6
52,4,949.3,194.2,41.6,22.4,64,8,28.1975,18.19,8.056811102,5.89,4
53,4,1368.5,271.2,76.2,32.2,108.4,8,34.1975,20.4,10.95833071,7.88,5
54,4,1439.9,298.8,73.6,35.6,109.2,9,34.6925,20.495,11.16871983,6.7,5
55,4,1237.5,165.2,59.6,20.8,80.4,10,32.6775,19.3925,9.954111485,9.28,5
56,4,2338.5,592.3,155.6,79.3,234.9,10,34.305,21.5725,11.62459359,13.47,6
57,4,2621.5,529,151.2,84.8,236,10,43.9575,24.3475,16.81152986,14.85,6
58,4,2230.8,427.1,139.9,51.6,191.5,12,41.8675,26.4325,17.38341694,11.5,6
59,4,1961.6,441.8,119.6,57.3,176.9,10,39.8175,19.462,12.17254347,10.73,5
60,4,2450.5,677.7,156.5,90,246.5,12,42.015,23.6975,15.63964089,10.29,6
61,4,1659.4,304.7,76.1,53.7,129.8,8,37.5675,20.58,12.14444137,9.31,4
62,5,3742.6,1283.5,281.4,143.1,424.5,12,52.3375,34.4475,28.31982463,17.65,6
63,5,3113.2,1072,202,128.8,330.8,18,45.425,27.6025,19.69532862,15.98,6
64,5,3500.4,1505.1,229.8,158.5,388.3,19,48.5825,26.735,20.40233737,13.07,6
65,5,3705.6,1442.7,226.7,170.5,397.2,20,47.2425,22.6375,16.79891421,13.73,7
66,5,3932.1,1406.2,273.2,152.2,425.4,10,54.1175,29.7825,25.3173796,11.22,6
67,5,4571.8,1685.4,367.6,181,548.6,26,49.9975,26.43,20.75703555,15.18,8
68,5,3014.1,1134.8,173.2,117.8,291,16,48.165,27.3525,20.69419172,9.97,7
69,5,2964.1,922.9,187,108.3,295.3,15,50.9575,27.5825,22.07809598,10.49,7
70,5,3418.1,1366.3,194.8,128.2,323,20,46.35,24.2225,17.6355326,9.1,7
71,5,2502.4,900.8,144.7,80.1,224.8,14,46.3775,29.1175,21.21198422,10.19,7
72,5,5462.6,2231.1,320.6,183.8,504.4,29,57.88,30.66,27.87536418,13.48,11
73,5,1674.2,565,96.4,46.9,143.3,14,34.885,23.4,12.82255179,7.25,7
74,5,4003.4,1670.2,210.4,162.1,372.5,24,51.985,26.815,21.89655169,9.29,9
75,5,4699,1967.3,288.2,205.1,493.3,26,54.7825,29.6525,25.51661371,13.46,8
76,5,3141.8,1204.9,178.8,136,314.8,24,43.1275,27.2075,18.43158989,8.22,10
77,6,870.5,564.9,42.1,47.4,89.5,8,19.27,10.13,3.066274541,5.2,5
78,6,662.4,380.7,39.6,33,72.6,8,20.9225,12.1175,3.982414696,3.34,4
79,6,539.7,369.4,28.6,35,63.6,4,16.605,7.8275,2.04165254,4.31,4
80,6,475.7,247.6,31.2,21.9,53.1,5,18.89,11.4575,3.399708655,4.32,4
81,6,738.1,514.8,37.8,43.8,81.6,4,20.3375,9.7975,3.129916237,4.2,4
82,6,912.8,511.5,56.2,42.5,98.7,7,24.765,14.315,5.568645373,4.29,5
83,6,334.4,162.4,24.7,19.1,43.8,4,17.7925,11.05,3.088297498,3.73,4
84,6,540.8,304.8,38.2,22.1,60.3,6,22.5075,10.8,3.818307419,4.84,4
85,6,807.5,481.4,45.1,37.8,82.9,5,20.69,10.945,3.557100483,4.12,4
86,6,1014.6,600.2,57,42.2,99.2,6,24.615,14.7575,5.706009745,3.82,4
87,6,670.5,393.8,33.9,29.8,63.7,6,20.7925,12.79,4.177314098,3.74,4
