Tiempo,Diámetro,Proteína
2,4,21.58830275
2,4,21.93233945
2,4,21.7603211
2,0.5,20.84288991
2,0.5,20.95756881
2,0.5,21.70298165
4,4,22.56307339
4,4,22.39105505
4,4,22.53440367
4,0.5,21.12958716
4,0.5,21.35894495
4,0.5,21.44495413
6,4,22.50573394
6,4,22.76376147
6,4,22.2190367
6,0.5,21.24426606
6,0.5,20.12614679
6,0.5,21.01490826
8,4,22.84977064
8,4,23.07912844
8,4,22.84977064
8,0.5,20.32683486
8,0.5,20.49885321
8,0.5,20.41284404
10,4,22.62041284
10,4,23.30848624
10,4,23.02178899
10,0.5,21.67431193
10,0.5,21.47362385
10,0.5,21.61697248
0,4,20.64220183
0,4,20.47018349
0,4,20.44151376
0,0.5,20.64220183
0,0.5,20.47018349
0,0.5,20.44151376
