ID,Method,Potencia,Tiempo,Proteína
1,Ultrasonido,400,0,39.5
2,Ultrasonido,400,0,37.4
3,Ultrasonido,400,0,39.83
1,Ultrasonido,400,3,45.36
2,Ultrasonido,400,3,46.29
3,Ultrasonido,400,3,46.79
1,Ultrasonido,400,5,50.98
2,Ultrasonido,400,5,52.41
3,Ultrasonido,400,5,52.41
1,Ultrasonido,400,7,55.93
2,Ultrasonido,400,7,56.09
3,Ultrasonido,400,7,55.51
1,Ultrasonido,400,10,57.69
2,Ultrasonido,400,10,58.61
3,Ultrasonido,400,10,57.1
1,Ultrasonido,400,15,57.44
2,Ultrasonido,400,15,58.78
3,Ultrasonido,400,15,54.84
4,Ultrasonido,350,0,33.63
5,Ultrasonido,350,0,32.7
6,Ultrasonido,350,0,35.89
4,Ultrasonido,350,3,39.33
5,Ultrasonido,350,3,36.81
6,Ultrasonido,350,3,37.73
4,Ultrasonido,350,5,42.43
5,Ultrasonido,350,5,37.82
6,Ultrasonido,350,5,46.03
4,Ultrasonido,350,7,45.2
5,Ultrasonido,350,7,43.94
6,Ultrasonido,350,7,45.7
4,Ultrasonido,350,10,42.76
5,Ultrasonido,350,10,51.4
6,Ultrasonido,350,10,46.62
4,Ultrasonido,350,15,55.01
5,Ultrasonido,350,15,55.51
6,Ultrasonido,350,15,52.07
7,Ultrasonido,300,0,33.38
8,Ultrasonido,300,0,35.22
9,Ultrasonido,300,0,35.89
7,Ultrasonido,300,3,38.32
8,Ultrasonido,300,3,40.17
9,Ultrasonido,300,3,41.93
7,Ultrasonido,300,5,43.35
8,Ultrasonido,300,5,42.43
9,Ultrasonido,300,5,41.34
7,Ultrasonido,300,7,46.54
8,Ultrasonido,300,7,46.79
9,Ultrasonido,300,7,47.04
7,Ultrasonido,300,10,50.39
8,Ultrasonido,300,10,50.39
9,Ultrasonido,300,10,49.64
7,Ultrasonido,300,15,49.22
8,Ultrasonido,300,15,49.97
9,Ultrasonido,300,15,47.29
